,Year_Built,Size,opex_sqft_month,WalkScore,TransitScore,geohash,EstRentableArea,EstValue,Cap_Rate_Iss,Ownership,AirCon,Pool,Condition,constructionType,parkingType,numberOfBuildings,propertyTaxAmount,taxRate,zrent_median,mos_since_last_sale,Median_Home_Value_2019,Area_per_unit,Revenue_per_sqft_month
114,1983.0,30.0,0.4457142857142857,79.0,56.0,9v6s8,21420.0,4875000.0,0.0866229743589743,N,NONE,COMMERCIAL,AVERAGE,WOOD,UNKNOWN,1.0,93387.54,0.07163285442576246,2375.0,105.55165726696572,638500.0,714.0,2.19
115,1986.0,38.0,0.4457142857142857,70.0,56.0,9v6s8,22319.0,4875000.0,0.0866229743589743,N,NONE,COMMERCIAL,AVERAGE,WOOD,UNKNOWN,1.0,97307.02,0.07163285442576246,2261.0,105.55165726696572,638500.0,587.3421052631579,2.227777777777778
116,1973.0,280.0,0.5987499999999999,72.0,44.0,9tbq9,138216.0,17100000.0,0.0451571263157894,Y,PACKAGE,NONE,AVERAGE,STEEL/WOOD,UNKNOWN,18.0,81091.78,0.176,1500.0,26.699935465696687,171700.0,493.62857142857143,1.7129411764705882
123,1986.0,315.0,0.4,56.0,35.0,9t9pq,225859.0,17200000.0,0.052508953488372,N,PACKAGE,SPA,UNKNOWN,WOOD/STEEL,SHARED/COMMON,18.0,171308.49,0.07163285442576246,1100.0,120.00780626386504,147100.0,717.0126984126985,1.29125
124,1964.0,42.0,0.5183333333333334,94.0,78.0,9q5cu,32445.0,1560000.0,0.0853198717948718,N,NONE,Yes,GOOD,WOOD,BASEMENT GARAGE,1.0,43300.95,0.004523437500000003,2517.5,237.3983070955043,190800.0,772.5,1.837826086956521
139,1926.0,16.0,0.8174999999999999,66.0,50.0,9q5cv,4144.0,540000.0,0.10565,N,NONE,NONE,BELOW AVERAGE,WOOD,UNKNOWN,1.0,1078.99,0.00512,2546.0,120.00780626386504,633900.0,259.0,1.03
160,1973.0,528.0,0.3,33.0,5.071428571428571,dhvnx,288272.0,20600000.0,0.0726254368932038,Y,PACKAGE,Yes,AVERAGE,MASONRY,CARPORT,8.0,502817.96,0.02,1934.0,67.70283080235659,190800.0,545.969696969697,1.704
161,1973.0,528.0,0.3,33.0,5.071428571428571,dhvnx,288272.0,20800000.0,0.0884740384615384,Y,PACKAGE,Yes,AVERAGE,MASONRY,CARPORT,8.0,502817.96,0.02,1934.0,67.70283080235659,190800.0,545.969696969697,1.704
162,1998.0,184.0,0.5,57.0,8.166666666666666,9vg5q,163593.0,11150000.0,0.0690434080717488,Y,CENTRAL,NONE,GOOD,WOOD,UNKNOWN,2.0,281518.16,0.07163285442576246,1480.0,120.00780626386504,190800.0,889.0923913043479,1.7758333333333332
163,1975.0,240.0,0.355,27.0,38.0,9tbr2,183452.0,9300000.0,0.0692159139784946,Y,CHILLED WATER,NONE,AVERAGE,STEEL/WOOD,UNKNOWN,16.0,128444.52,0.143,1450.0,14.280789281996816,218400.0,764.3833333333333,2.216666666666667
166,1984.0,126.0,0.42875,45.0,39.24075664319679,9vg5b,127846.0,6400000.0,0.08247484375,N,CENTRAL,COMMERCIAL,GOOD,UNKNOWN,OPEN SPACE(S),4.0,28.22,0.07163285442576246,1349.0,102.10189443816019,224100.0,1014.6507936507936,1.6323076923076922
167,1980.0,176.0,0.44799999999999995,46.0,3.3333333333333335,9vf9z,144352.0,5150000.0,0.0862588349514563,N,NONE,Yes,UNKNOWN,UNKNOWN,UNKNOWN,1.0,325670.27,0.07163285442576246,1562.5,49.50122501989698,681400.0,820.1818181818181,1.8666666666666665
168,1970.0,200.0,0.5657142857142857,46.0,10.375,9vg5p,164370.0,5090000.0,0.0765952848722986,N,CENTRAL,Yes,GOOD,WOOD,UNKNOWN,1.0,459078.66,0.07163285442576246,1375.0,7.414118508469639,360800.0,821.85,1.511
169,1984.0,106.0,0.49888888888888894,54.0,38.0,9vk10,86744.0,3850000.0,0.0897257142857142,N,CENTRAL,Yes,AVERAGE,WOOD/STEEL,ON & OFF STREET,7.0,95794.29,0.07163285442576246,1800.0,56.926428822849815,190800.0,818.3396226415094,1.461875
171,1982.0,102.0,0.49,56.0,39.24075664319679,9vk68,83588.0,3380000.0,0.0862207100591716,Y,CENTRAL,Yes,AVERAGE,WOOD/STEEL,OFF STREET,9.0,82950.08,0.07163285442576246,1800.0,74.56950157588376,308800.0,819.4901960784314,1.49
173,1968.0,68.0,0.35750000000000004,51.0,39.24075664319679,9vfdn,70740.0,1415000.0,0.0771837455830388,N,NONE,Yes,UNKNOWN,UNKNOWN,UNKNOWN,1.0,114307.96,0.07163285442576246,1350.0,46.54428545234939,190800.0,1040.2941176470588,1.54
176,1983.0,88.0,0.4457142857142857,58.0,50.0,9v6s8,35980.0,3800000.0,0.0738260526315789,Y,NONE,CONCRETE,AVERAGE,WOOD,UNKNOWN,1.0,100127.23,0.07163285442576246,2585.0,276.16707031446157,190800.0,408.8636363636364,1.19
179,1983.0,146.0,0.49,55.0,39.24075664319679,dhvr2,84913.0,5800000.0,0.0786346742483721,Y,WALL UNIT,NONE,AVERAGE,WOOD,UNKNOWN,21.0,138978.84,0.018,1870.5,91.35834734273729,130500.0,581.5958904109589,1.3250000000000002
181,1961.0,20.0,0.48,99.0,98.0,9q5cf,17800.0,3000000.0,0.0741876666666666,Y,WALL,NONE,AVERAGE,FRAME,SUBTERRANEAN,1.0,36981.27,0.014,2595.0,279.4854136069316,874500.0,890.0,1.99
189,1963.0,44.0,0.38,78.0,44.0,9vg49,33008.0,1350000.0,0.1036088888888888,N,CENTRAL AIR,NONE,AVERAGE,WOOD FRAME,UNKNOWN,1.0,9533.12875,0.07163285442576246,810.0,91.58833153132433,127400.0,750.1818181818181,2.93
194,1965.0,49.0,0.9757894736842107,83.0,18.92063492063492,9vg4t,33602.0,3770000.0,0.0677978779840848,N,CENTRAL,NONE,AVERAGE,WOOD,UNKNOWN,1.0,113433.62,0.07163285442576246,1695.0,4.424324056838189,277400.0,685.7551020408164,2.0728125000000004
197,1983.0,400.0,0.41500000000000004,21.0,40.10526315789474,9vk4m,323967.0,13000000.0,0.0954045384615384,Y,CENTRAL,Yes,AVERAGE,WOOD/STEEL,OFF STREET,34.0,150913.94,0.07163285442576246,1800.0,120.00780626386504,190800.0,809.9175,2.55
198,1983.0,400.0,0.41500000000000004,21.0,40.10526315789474,9vk4m,323967.0,29100000.0,0.0616617718213058,Y,CENTRAL,Yes,AVERAGE,WOOD/STEEL,OFF STREET,34.0,150913.94,0.07163285442576246,1800.0,120.00780626386504,190800.0,809.9175,0.96
201,1960.0,96.0,0.37,13.0,61.0,9q5fp,88961.0,10300000.0,0.0717389533980582,Y,YES,POOL,UNKNOWN,WOOD,UNKNOWN,1.0,129109.23,0.014,2250.0,120.00780626386504,190800.0,926.6770833333334,1.49
208,1984.0,229.0,0.47,62.0,36.0,9vk45,184169.0,17500000.0,0.0512986862857142,N,CENTRAL,Yes,AVERAGE,WOOD/STEEL,OFF STREET,18.0,8334.655714285715,0.07163285442576246,1800.0,8.36691014690164,386600.0,804.231441048035,1.0
210,1984.0,228.0,0.47,62.0,36.0,9vk45,184169.0,7050000.0,0.083397304964539,N,CENTRAL,Yes,AVERAGE,WOOD/STEEL,OFF STREET,18.0,8334.655714285715,0.07163285442576246,1800.0,8.36691014690164,386600.0,807.7587719298245,1.0
212,1972.0,247.0,0.49,39.0,39.24075664319679,djn4h,173608.0,6820000.0,0.0948026392961876,N,WALL UNIT,Yes,AVERAGE,CONCRETE,SHARED/COMMON,11.0,390246.87,0.02,1766.0,16.646340936034886,541100.0,702.8663967611336,1.39
213,1972.0,258.0,0.49,39.0,39.24075664319679,djn4h,173608.0,30200000.0,0.0484385013245033,N,WALL UNIT,Yes,AVERAGE,CONCRETE,SHARED/COMMON,11.0,390246.87,0.02,1700.0,16.646340936034886,541100.0,672.8992248062016,1.39
215,1983.0,240.0,0.52,60.0,40.0,9vk0d,178871.0,9740000.0,0.0540047227926078,N,CENTRAL,Yes,AVERAGE,WOOD/STEEL,OFF STREET,19.0,352782.39,0.07163285442576246,1800.0,50.65114596283215,190800.0,745.2958333333333,2.012857142857143
218,1971.0,40.0,0.45999999999999996,71.0,41.0,9q5f9,39880.0,2850000.0,0.0816757894736842,N,CENTRAL,Yes,GOOD,WOOD,PAVED,1.0,81683.74,0.00588,2578.5,346.37795760167484,538800.0,997.0,2.3666666666666667
219,1989.0,43.0,0.62,74.0,19.375,9q5by,40632.0,2795000.0,0.083298747763864,Y,REFRIGERATION,NONE,EXCELLENT,WOOD,UNKNOWN,5.0,131429.51,0.002,2250.0,75.06232483714169,424100.0,944.9302325581396,1.375
221,1973.0,80.0,0.6,69.0,7.5,9vg4g,62000.0,1600000.0,0.087664375,N,CENTRAL,Yes,AVERAGE,WOOD,UNKNOWN,1.0,108157.64,0.07163285442576246,1997.0,7.57839292888895,258400.0,775.0,1.9714285714285715
224,1985.0,15.0,0.49,47.0,39.24075664319679,9vffy,13969.0,625000.0,0.0870336,N,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,1.0,25643.81,0.07163285442576246,1595.0,254.8771054281189,217700.0,931.2666666666667,1.2033333333333334
231,1974.0,271.0,0.49,48.0,61.0,9qh0v,141778.0,45500000.0,0.0490875496703296,Y,CENTRAL,POOL & JACUZZI,UNKNOWN,UNKNOWN,GARAGE/CARPORT,1.0,233026.58,0.013,3995.0,235.09846520963393,134400.0,523.1660516605166,3.63
232,1974.0,271.0,0.49,72.0,49.0,9qh0v,141778.0,23100000.0,0.0758345454545454,Y,CENTRAL,POOL & JACUZZI,UNKNOWN,UNKNOWN,GARAGE/CARPORT,1.0,233026.58,0.013,3995.0,235.09846520963393,134400.0,523.1660516605166,2.29
241,1970.0,160.0,0.37,43.0,8.272727272727273,9vg45,166520.0,4500000.0,0.06789149185185185,N,CENTRAL,NONE,GOOD,WOOD,UNKNOWN,1.0,220272.25,0.07163285442576246,1287.5,303.23949479956394,274500.0,1040.75,1.2675
242,1978.0,44.0,0.5800000000000001,74.0,42.0,9t9pe,14766.0,990000.0,0.0794220707070707,N,HEAT PUMP,GUNITE,AVERAGE,MASONRY,UNKNOWN,5.0,15587.3,0.07163285442576246,1328.0,26.207112204438754,152600.0,335.59090909090907,1.2285714285714284
245,1987.0,336.0,0.7379999999999999,63.0,47.0,9v6eb,207052.0,20215000.0,0.04906390826666835,N,NONE,COMMERCIAL,AVERAGE,WOOD,UNKNOWN,1.0,894615.07,0.07163285442576246,2595.0,56.10505672075327,274500.0,616.2261904761905,1.355833333333333
